model,c_index,ci_lower,ci_upper,auroc
cox_ph,0.5782293986636972,0.5007784480571612,0.6461280487804879,
deepsurv,0.5812917594654788,0.5066464991645633,0.6414334295738355,
rsf,0.38752783964365256,0.3199936546416462,0.4737787732406297,
response_classifier,,,,0.5030599755201958
attention_fusion,0.5974387527839644,0.5089413977555772,0.6743241731639315,
